"age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","previous","poutcome","empvarrate","conspriceidx","consconfidx","euribor3m","nremployed","y"
31,"blue-collar","married","basic.9y","no","no","no","telephone","may","tue",33,6,0,"nonexistent",1.1,93.994003,-36.400002,4.8569999,5191,"no"
38,"admin.","married","university.degree","no","yes","no","cellular","jul","tue",92,30,0,"nonexistent",1.4,93.917999,-42.700001,4.961,5228.1001,"no"
45,"housemaid","married","basic.4y","no","yes","no","cellular","apr","mon",158,2,0,"nonexistent",-1.8,93.074997,-47.099998,1.405,5099.1001,"yes"
31,"blue-collar","married","basic.9y","no","no","no","cellular","apr","thu",104,1,1,"failure",-1.8,93.074997,-47.099998,1.41,5099.1001,"no"
58,"management","unknown","university.degree","no","yes","no","telephone","may","mon",366,1,0,"nonexistent",1.1,93.994003,-36.400002,4.8569999,5191,"no"
35,"blue-collar","single","basic.9y","unknown","yes","no","cellular","jul","tue",71,2,0,"nonexistent",1.4,93.917999,-42.700001,4.961,5228.1001,"no"
30,"admin.","single","university.degree","no","no","no","cellular","jul","thu",252,1,2,"success",-1.7,94.214996,-40.299999,0.84600002,4991.6001,"yes"
31,"admin.","divorced","university.degree","no","yes","yes","telephone","may","thu",328,2,0,"nonexistent",1.1,93.994003,-36.400002,4.8600001,5191,"no"
46,"blue-collar","divorced","basic.9y","no","no","no","cellular","apr","tue",332,3,0,"nonexistent",-1.8,93.074997,-47.099998,1.423,5099.1001,"no"
40,"management","married","university.degree","no","no","no","telephone","jun","fri",64,1,0,"nonexistent",1.4,94.464996,-41.799999,4.9590001,5228.1001,"no"
26,"admin.","single","high.school","no","no","yes","telephone","jul","fri",634,1,0,"nonexistent",1.4,93.917999,-42.700001,4.9590001,5228.1001,"no"
28,"management","married","high.school","unknown","no","no","telephone","may","tue",375,1,0,"nonexistent",1.1,93.994003,-36.400002,4.8569999,5191,"no"
28,"student","single","university.degree","unknown","no","no","cellular","may","tue",135,4,0,"nonexistent",-1.8,92.892998,-46.200001,1.291,5099.1001,"no"
55,"services","married","basic.4y","no","no","yes","cellular","aug","wed",64,1,0,"nonexistent",1.4,93.444,-36.099998,4.9640002,5228.1001,"no"
26,"admin.","single","university.degree","no","no","yes","cellular","jun","fri",91,2,1,"success",-1.7,94.055,-39.799999,0.73199999,4991.6001,"no"
29,"blue-collar","married","basic.4y","no","no","yes","telephone","jun","mon",164,1,0,"nonexistent",1.4,94.464996,-41.799999,4.961,5228.1001,"no"
44,"blue-collar","married","professional.course","no","no","no","cellular","aug","fri",90,4,0,"nonexistent",1.4,93.444,-36.099998,4.9660001,5228.1001,"no"
41,"blue-collar","married","basic.9y","unknown","no","no","telephone","jun","fri",204,3,0,"nonexistent",1.4,94.464996,-41.799999,4.967,5228.1001,"no"
35,"self-employed","unknown","university.degree","no","no","no","cellular","nov","thu",221,1,0,"nonexistent",-0.1,93.199997,-42,4.0760002,5195.7998,"no"
35,"entrepreneur","married","university.degree","no","yes","no","cellular","aug","thu",51,3,0,"nonexistent",1.4,93.444,-36.099998,4.9640002,5228.1001,"no"
36,"blue-collar","married","basic.9y","no","unknown","unknown","telephone","jul","mon",102,14,0,"nonexistent",1.4,93.917999,-42.700001,4.9619999,5228.1001,"no"
28,"blue-collar","married","basic.9y","no","yes","no","telephone","may","tue",180,1,0,"nonexistent",1.1,93.994003,-36.400002,4.8569999,5191,"no"
47,"admin.","married","basic.6y","unknown","yes","no","cellular","apr","thu",399,2,1,"failure",-1.8,93.074997,-47.099998,1.41,5099.1001,"no"
33,"admin.","married","high.school","no","no","no","cellular","nov","thu",133,4,0,"nonexistent",-0.1,93.199997,-42,4.0760002,5195.7998,"no"
50,"admin.","married","high.school","no","no","no","telephone","jun","fri",513,3,0,"nonexistent",1.4,94.464996,-41.799999,4.947,5228.1001,"no"
54,"blue-collar","married","basic.9y","unknown","no","no","cellular","jul","thu",225,2,0,"nonexistent",1.4,93.917999,-42.700001,4.9580002,5228.1001,"no"
43,"blue-collar","single","basic.4y","unknown","no","no","telephone","may","wed",339,3,0,"nonexistent",1.1,93.994003,-36.400002,4.8579998,5191,"no"
24,"services","single","high.school","no","yes","yes","cellular","may","mon",590,1,1,"failure",-1.8,92.892998,-46.200001,1.299,5099.1001,"no"
58,"retired","married","basic.4y","no","yes","no","cellular","jul","tue",614,1,0,"nonexistent",1.4,93.917999,-42.700001,4.961,5228.1001,"no"
43,"blue-collar","married","basic.9y","no","yes","no","cellular","nov","wed",239,1,0,"nonexistent",-0.1,93.199997,-42,4.1199999,5195.7998,"no"
30,"technician","married","professional.course","no","yes","no","cellular","jul","mon",41,2,0,"nonexistent",1.4,93.917999,-42.700001,4.9619999,5228.1001,"no"
47,"retired","single","basic.6y","unknown","yes","no","cellular","jul","mon",315,3,0,"nonexistent",1.4,93.917999,-42.700001,4.9619999,5228.1001,"no"
48,"technician","single","university.degree","unknown","no","no","cellular","aug","tue",532,8,0,"nonexistent",1.4,93.444,-36.099998,4.9650002,5228.1001,"no"
40,"technician","single","basic.9y","unknown","yes","yes","cellular","nov","mon",99,1,1,"failure",-0.1,93.199997,-42,4.191,5195.7998,"no"
55,"admin.","married","high.school","unknown","yes","no","cellular","may","fri",41,3,0,"nonexistent",-1.8,92.892998,-46.200001,1.25,5099.1001,"no"
34,"admin.","single","university.degree","no","no","no","cellular","jul","tue",61,4,0,"nonexistent",1.4,93.917999,-42.700001,4.961,5228.1001,"no"
56,"services","married","university.degree","no","no","no","cellular","jul","mon",139,2,0,"nonexistent",1.4,93.917999,-42.700001,4.9619999,5228.1001,"no"
44,"blue-collar","married","basic.6y","no","yes","no","telephone","jun","fri",159,2,0,"nonexistent",1.4,94.464996,-41.799999,4.947,5228.1001,"no"
28,"admin.","married","university.degree","no","no","no","cellular","aug","fri",161,4,0,"nonexistent",-1.7,94.027,-38.299999,0.898,4991.6001,"no"
34,"services","married","high.school","no","no","no","cellular","may","thu",353,6,1,"failure",-1.8,92.892998,-46.200001,1.266,5099.1001,"no"
70,"retired","married","high.school","no","yes","no","cellular","sep","fri",144,1,0,"nonexistent",-3.4000001,92.378998,-29.799999,0.741,5017.5,"no"
40,"technician","married","high.school","no","no","no","cellular","aug","tue",370,1,0,"nonexistent",1.4,93.444,-36.099998,4.9660001,5228.1001,"no"
38,"technician","married","university.degree","no","yes","no","cellular","jul","mon",55,5,0,"nonexistent",1.4,93.917999,-42.700001,4.9619999,5228.1001,"no"
35,"admin.","single","high.school","no","yes","yes","cellular","may","thu",106,1,1,"failure",-1.8,92.892998,-46.200001,1.327,5099.1001,"no"
34,"admin.","married","high.school","no","no","no","cellular","jul","fri",59,7,0,"nonexistent",-2.9000001,92.469002,-33.599998,1.059,5076.2002,"no"
54,"technician","married","professional.course","no","no","no","cellular","aug","thu",478,1,0,"nonexistent",1.4,93.444,-36.099998,4.9640002,5228.1001,"no"
88,"retired","married","basic.4y","no","yes","no","cellular","sep","mon",213,7,0,"nonexistent",-1.1,94.198997,-37.5,0.88200003,4963.6001,"no"
42,"admin.","married","university.degree","no","yes","no","cellular","may","mon",20,5,0,"nonexistent",-1.8,92.892998,-46.200001,1.354,5099.1001,"no"
39,"technician","married","university.degree","no","yes","no","cellular","aug","fri",156,2,0,"nonexistent",-2.9000001,92.200996,-31.4,0.86900002,5076.2002,"yes"
30,"entrepreneur","married","university.degree","no","no","no","cellular","may","wed",585,1,0,"nonexistent",-1.8,92.892998,-46.200001,1.281,5099.1001,"yes"
44,"services","married","professional.course","no","no","yes","cellular","aug","mon",93,1,0,"nonexistent",1.4,93.444,-36.099998,4.9699998,5228.1001,"no"
31,"entrepreneur","married","high.school","no","yes","no","telephone","jun","thu",133,1,0,"nonexistent",1.4,94.464996,-41.799999,4.961,5228.1001,"no"
34,"blue-collar","married","basic.9y","no","yes","no","cellular","jul","wed",874,3,0,"nonexistent",1.4,93.917999,-42.700001,4.9629998,5228.1001,"no"
46,"entrepreneur","divorced","basic.9y","no","yes","no","cellular","nov","thu",201,4,0,"nonexistent",-0.1,93.199997,-42,4.0760002,5195.7998,"no"
48,"admin.","married","university.degree","no","no","no","cellular","nov","wed",128,7,0,"nonexistent",-0.1,93.199997,-42,4.1199999,5195.7998,"no"
30,"self-employed","married","university.degree","no","yes","no","cellular","jun","fri",138,2,0,"nonexistent",-2.9000001,92.962997,-40.799999,1.268,5076.2002,"no"
31,"admin.","married","university.degree","no","no","no","cellular","apr","fri",170,1,0,"nonexistent",-1.8,93.074997,-47.099998,1.479,5099.1001,"no"
42,"blue-collar","married","basic.4y","unknown","yes","yes","telephone","may","fri",588,3,0,"nonexistent",1.1,93.994003,-36.400002,4.8590002,5191,"no"
45,"admin.","married","university.degree","no","yes","no","cellular","nov","wed",70,3,0,"nonexistent",-0.1,93.199997,-42,4.1199999,5195.7998,"no"
31,"blue-collar","married","basic.9y","unknown","no","no","cellular","jul","tue",243,4,0,"nonexistent",1.4,93.917999,-42.700001,4.961,5228.1001,"no"
37,"admin.","married","university.degree","no","no","no","telephone","jul","mon",1009,5,0,"nonexistent",1.4,93.917999,-42.700001,4.9619999,5228.1001,"yes"
46,"blue-collar","single","basic.4y","no","yes","yes","cellular","nov","thu",145,1,0,"nonexistent",-0.1,93.199997,-42,4.0760002,5195.7998,"no"
25,"admin.","single","university.degree","no","no","no","telephone","aug","tue",103,3,0,"nonexistent",-2.9000001,92.200996,-31.4,0.838,5076.2002,"no"
45,"technician","divorced","professional.course","no","yes","no","cellular","aug","mon",112,2,0,"nonexistent",1.4,93.444,-36.099998,4.9650002,5228.1001,"no"
29,"blue-collar","married","basic.9y","no","yes","yes","cellular","may","mon",34,1,1,"failure",-1.8,92.892998,-46.200001,1.299,5099.1001,"no"
30,"blue-collar","married","basic.9y","no","no","no","telephone","may","tue",227,1,0,"nonexistent",1.1,93.994003,-36.400002,4.8569999,5191,"no"
39,"admin.","married","university.degree","no","no","no","telephone","jun","tue",979,9,0,"nonexistent",1.4,94.464996,-41.799999,4.961,5228.1001,"no"
56,"admin.","married","basic.9y","no","yes","yes","cellular","may","mon",313,2,0,"nonexistent",-1.8,92.892998,-46.200001,1.354,5099.1001,"no"
43,"admin.","married","unknown","no","yes","no","telephone","jun","thu",189,2,0,"nonexistent",1.4,94.464996,-41.799999,4.8660002,5228.1001,"no"
49,"blue-collar","married","basic.6y","unknown","no","no","cellular","jul","wed",221,1,0,"nonexistent",1.4,93.917999,-42.700001,4.9569998,5228.1001,"no"
31,"admin.","single","high.school","no","yes","no","cellular","nov","wed",286,3,0,"nonexistent",-0.1,93.199997,-42,4.1199999,5195.7998,"no"
49,"retired","married","high.school","no","yes","no","cellular","jul","wed",555,1,0,"nonexistent",1.4,93.917999,-42.700001,4.9569998,5228.1001,"yes"
27,"blue-collar","single","basic.9y","no","yes","no","telephone","may","wed",185,1,0,"nonexistent",1.1,93.994003,-36.400002,4.8569999,5191,"no"
46,"blue-collar","single","professional.course","no","no","no","telephone","may","wed",26,5,0,"nonexistent",1.1,93.994003,-36.400002,4.8569999,5191,"no"
52,"blue-collar","married","basic.4y","no","no","no","telephone","may","tue",57,2,0,"nonexistent",1.1,93.994003,-36.400002,4.8569999,5191,"no"
59,"admin.","married","high.school","no","no","no","cellular","may","wed",232,2,1,"failure",-1.8,92.892998,-46.200001,1.334,5099.1001,"no"
38,"admin.","single","basic.6y","unknown","no","no","telephone","may","tue",250,1,0,"nonexistent",1.1,93.994003,-36.400002,4.8569999,5191,"no"
45,"technician","single","university.degree","no","no","no","cellular","may","fri",445,2,1,"failure",-1.8,92.892998,-46.200001,1.313,5099.1001,"no"
60,"admin.","married","university.degree","no","yes","no","cellular","may","mon",1602,2,0,"nonexistent",-1.8,92.892998,-46.200001,1.354,5099.1001,"yes"
30,"blue-collar","single","basic.4y","unknown","unknown","unknown","telephone","may","fri",140,1,0,"nonexistent",1.1,93.994003,-36.400002,4.8590002,5191,"no"
34,"blue-collar","married","basic.9y","unknown","yes","no","cellular","jul","fri",913,4,0,"nonexistent",1.4,93.917999,-42.700001,4.9569998,5228.1001,"yes"
36,"technician","single","professional.course","no","no","no","cellular","aug","wed",275,1,0,"nonexistent",1.4,93.444,-36.099998,4.967,5228.1001,"no"
37,"admin.","married","unknown","no","no","no","telephone","may","mon",89,3,0,"nonexistent",1.1,93.994003,-36.400002,4.8569999,5191,"no"
33,"housemaid","married","basic.4y","no","no","no","telephone","may","tue",213,1,0,"nonexistent",1.1,93.994003,-36.400002,4.8559999,5191,"no"
38,"admin.","married","basic.6y","no","yes","no","telephone","jul","thu",214,3,0,"nonexistent",1.4,93.917999,-42.700001,4.9679999,5228.1001,"no"
58,"management","single","university.degree","no","no","no","cellular","may","fri",90,1,0,"nonexistent",-1.8,92.892998,-46.200001,1.313,5099.1001,"no"
51,"management","married","university.degree","no","yes","yes","telephone","jun","mon",409,2,0,"nonexistent",1.4,94.464996,-41.799999,4.8649998,5228.1001,"no"
33,"blue-collar","married","basic.9y","unknown","yes","no","telephone","jul","wed",164,1,0,"nonexistent",1.4,93.917999,-42.700001,4.9569998,5228.1001,"no"
50,"blue-collar","married","basic.6y","unknown","yes","no","telephone","nov","mon",105,3,0,"nonexistent",-0.1,93.199997,-42,4.191,5195.7998,"no"
34,"admin.","single","high.school","no","no","no","cellular","nov","wed",347,1,0,"nonexistent",-0.1,93.199997,-42,4.1199999,5195.7998,"no"
35,"admin.","married","university.degree","no","no","yes","cellular","sep","wed",242,2,1,"failure",-1.1,94.198997,-37.5,0.88599998,4963.6001,"no"
27,"services","single","high.school","no","yes","no","telephone","jun","tue",170,2,0,"nonexistent",1.4,94.464996,-41.799999,4.961,5228.1001,"no"
47,"technician","married","unknown","unknown","yes","no","cellular","nov","fri",57,2,1,"failure",-0.1,93.199997,-42,4.0209999,5195.7998,"no"
34,"management","single","high.school","no","no","no","cellular","jul","mon",264,1,0,"nonexistent",1.4,93.917999,-42.700001,4.96,5228.1001,"no"
36,"housemaid","married","basic.6y","no","no","no","cellular","aug","mon",104,9,0,"nonexistent",1.4,93.444,-36.099998,4.9650002,5228.1001,"no"
33,"admin.","single","university.degree","no","no","no","telephone","may","thu",342,1,0,"nonexistent",1.1,93.994003,-36.400002,4.855,5191,"no"
39,"blue-collar","divorced","unknown","no","no","no","cellular","may","thu",126,1,0,"nonexistent",-1.8,92.892998,-46.200001,1.327,5099.1001,"no"
59,"retired","married","unknown","no","yes","no","cellular","aug","fri",73,1,0,"nonexistent",1.4,93.444,-36.099998,4.9640002,5228.1001,"no"
47,"technician","married","basic.9y","no","yes","no","cellular","apr","mon",151,2,1,"failure",-1.8,93.074997,-47.099998,1.405,5099.1001,"no"
30,"admin.","single","basic.9y","no","yes","no","telephone","jul","thu",45,1,0,"nonexistent",1.4,93.917999,-42.700001,4.9629998,5228.1001,"no"
35,"technician","married","professional.course","no","no","no","cellular","jul","thu",126,4,0,"nonexistent",1.4,93.917999,-42.700001,4.9679999,5228.1001,"no"
26,"technician","married","university.degree","no","no","no","telephone","jul","thu",270,7,0,"nonexistent",1.4,93.917999,-42.700001,4.9629998,5228.1001,"no"
45,"blue-collar","married","basic.9y","no","no","no","cellular","aug","wed",61,3,0,"nonexistent",1.4,93.444,-36.099998,4.967,5228.1001,"no"
53,"entrepreneur","married","university.degree","no","yes","no","cellular","jul","mon",212,1,0,"nonexistent",1.4,93.917999,-42.700001,4.96,5228.1001,"no"
32,"blue-collar","married","basic.9y","unknown","unknown","unknown","telephone","may","wed",195,2,0,"nonexistent",1.1,93.994003,-36.400002,4.8569999,5191,"no"
35,"blue-collar","divorced","basic.9y","no","no","no","telephone","jun","thu",77,2,0,"nonexistent",1.4,94.464996,-41.799999,4.8660002,5228.1001,"no"
34,"admin.","married","university.degree","no","yes","no","cellular","aug","mon",227,2,0,"nonexistent",-2.9000001,92.200996,-31.4,0.84299999,5076.2002,"no"
51,"blue-collar","married","basic.9y","unknown","yes","no","cellular","apr","mon",143,2,0,"nonexistent",-1.8,93.074997,-47.099998,1.405,5099.1001,"no"
37,"admin.","single","university.degree","no","yes","yes","telephone","may","fri",138,4,0,"nonexistent",1.1,93.994003,-36.400002,4.8569999,5191,"no"
23,"blue-collar","single","basic.9y","no","no","no","cellular","may","mon",285,1,0,"nonexistent",-1.8,92.892998,-46.200001,1.299,5099.1001,"no"
45,"technician","married","unknown","unknown","yes","no","cellular","jul","mon",326,2,0,"nonexistent",1.4,93.917999,-42.700001,4.96,5228.1001,"no"
54,"blue-collar","married","basic.4y","no","yes","no","cellular","aug","thu",86,3,0,"nonexistent",1.4,93.444,-36.099998,4.9640002,5228.1001,"no"
28,"admin.","single","university.degree","no","yes","no","telephone","may","fri",286,5,0,"nonexistent",1.1,93.994003,-36.400002,4.855,5191,"no"
38,"admin.","divorced","university.degree","no","yes","no","cellular","aug","mon",92,2,0,"nonexistent",1.4,93.444,-36.099998,4.9629998,5228.1001,"no"
25,"student","single","high.school","no","yes","no","cellular","oct","mon",211,2,3,"success",-1.1,94.600998,-49.5,1.0319999,4963.6001,"yes"
33,"admin.","married","university.degree","no","yes","yes","cellular","nov","wed",84,3,0,"nonexistent",-0.1,93.199997,-42,4.1199999,5195.7998,"no"
50,"admin.","married","high.school","no","no","no","cellular","jul","wed",140,3,0,"nonexistent",-2.9000001,92.469002,-33.599998,1.085,5076.2002,"yes"
27,"blue-collar","single","high.school","no","yes","no","cellular","jul","thu",185,5,2,"failure",-1.7,94.214996,-40.299999,0.84600002,4991.6001,"no"
33,"blue-collar","married","basic.9y","no","yes","no","cellular","may","thu",580,2,0,"nonexistent",-1.8,92.892998,-46.200001,1.327,5099.1001,"no"
30,"technician","married","high.school","unknown","no","no","telephone","jun","tue",491,1,0,"nonexistent",1.4,94.464996,-41.799999,4.961,5228.1001,"no"
55,"technician","married","professional.course","no","yes","no","cellular","oct","tue",182,1,0,"nonexistent",-3.4000001,92.431,-26.9,0.74199998,5017.5,"no"
32,"admin.","single","high.school","unknown","no","no","telephone","jun","wed",213,5,0,"nonexistent",1.4,94.464996,-41.799999,4.9619999,5228.1001,"no"
41,"technician","married","professional.course","no","yes","no","cellular","nov","mon",185,2,0,"nonexistent",-1.1,94.766998,-50.799999,1.039,4963.6001,"no"
57,"services","married","high.school","unknown","yes","no","telephone","aug","mon",41,9,0,"nonexistent",1.4,93.444,-36.099998,4.9650002,5228.1001,"no"
41,"blue-collar","divorced","basic.6y","no","unknown","unknown","telephone","may","fri",234,2,0,"nonexistent",1.1,93.994003,-36.400002,4.8590002,5191,"no"
45,"blue-collar","divorced","basic.9y","no","yes","no","telephone","jun","tue",250,1,0,"nonexistent",1.4,94.464996,-41.799999,4.8639998,5228.1001,"no"
66,"retired","married","basic.4y","no","yes","no","cellular","apr","wed",512,11,0,"nonexistent",-1.8,93.074997,-47.099998,1.415,5099.1001,"yes"
31,"blue-collar","single","basic.9y","no","no","no","telephone","jun","wed",350,7,0,"nonexistent",1.4,94.464996,-41.799999,4.9619999,5228.1001,"no"
44,"blue-collar","married","unknown","unknown","no","yes","cellular","jul","tue",25,21,0,"nonexistent",1.4,93.917999,-42.700001,4.961,5228.1001,"no"
34,"admin.","divorced","university.degree","no","yes","no","cellular","apr","fri",649,1,0,"nonexistent",-1.8,93.074997,-47.099998,1.405,5099.1001,"no"
46,"admin.","married","unknown","no","no","no","telephone","may","mon",348,1,0,"nonexistent",1.1,93.994003,-36.400002,4.8569999,5191,"no"
30,"blue-collar","married","basic.6y","no","no","no","telephone","may","fri",88,2,0,"nonexistent",1.1,93.994003,-36.400002,4.8639998,5191,"no"
40,"services","single","high.school","no","yes","yes","telephone","may","tue",117,1,0,"nonexistent",1.1,93.994003,-36.400002,4.8559999,5191,"no"
31,"services","married","basic.6y","unknown","yes","no","telephone","may","thu",297,3,0,"nonexistent",1.1,93.994003,-36.400002,4.8600001,5191,"no"
59,"admin.","married","university.degree","no","no","no","telephone","oct","tue",85,1,0,"nonexistent",-0.1,93.797997,-40.400002,4.9679999,5195.7998,"yes"
39,"blue-collar","married","unknown","no","no","no","telephone","may","fri",496,4,0,"nonexistent",1.1,93.994003,-36.400002,4.8569999,5191,"no"
39,"admin.","married","high.school","no","yes","no","telephone","jun","fri",77,5,0,"nonexistent",1.4,94.464996,-41.799999,4.9590001,5228.1001,"no"
31,"technician","married","university.degree","no","yes","no","cellular","may","mon",50,3,1,"failure",-1.8,92.892998,-46.200001,1.299,5099.1001,"no"
41,"housemaid","married","university.degree","no","yes","no","cellular","aug","thu",36,1,0,"nonexistent",1.4,93.444,-36.099998,4.9629998,5228.1001,"no"
30,"housemaid","married","high.school","unknown","yes","no","telephone","may","fri",67,13,0,"nonexistent",1.1,93.994003,-36.400002,4.8569999,5191,"no"
39,"admin.","single","university.degree","no","yes","yes","cellular","nov","wed",457,2,0,"nonexistent",-0.1,93.199997,-42,4.1199999,5195.7998,"no"
31,"admin.","married","high.school","no","no","no","telephone","jun","thu",952,4,0,"nonexistent",1.4,94.464996,-41.799999,4.961,5228.1001,"yes"
39,"technician","married","university.degree","unknown","no","no","cellular","aug","fri",1028,1,0,"nonexistent",1.4,93.444,-36.099998,4.9629998,5228.1001,"no"
45,"technician","married","university.degree","no","yes","yes","telephone","may","tue",845,1,0,"nonexistent",1.1,93.994003,-36.400002,4.8559999,5191,"yes"
36,"services","divorced","university.degree","no","no","no","telephone","may","fri",208,1,0,"nonexistent",1.1,93.994003,-36.400002,4.855,5191,"no"
50,"services","married","basic.4y","no","no","no","cellular","aug","fri",95,1,0,"nonexistent",1.4,93.444,-36.099998,4.9660001,5228.1001,"no"
48,"entrepreneur","married","basic.9y","no","yes","no","cellular","jul","wed",44,7,0,"nonexistent",1.4,93.917999,-42.700001,4.9629998,5228.1001,"no"
46,"blue-collar","married","basic.9y","no","no","no","telephone","may","tue",121,1,0,"nonexistent",1.1,93.994003,-36.400002,4.8569999,5191,"no"
25,"services","single","basic.9y","no","yes","no","cellular","jul","wed",535,1,0,"nonexistent",1.4,93.917999,-42.700001,4.9629998,5228.1001,"no"
46,"technician","married","professional.course","no","yes","no","cellular","nov","tue",163,2,1,"failure",-0.1,93.199997,-42,4.1529999,5195.7998,"no"
57,"entrepreneur","married","university.degree","no","no","no","telephone","jul","wed",337,1,0,"nonexistent",1.4,93.917999,-42.700001,4.9619999,5228.1001,"no"
61,"management","married","university.degree","no","no","no","cellular","oct","fri",56,4,0,"nonexistent",-3.4000001,92.431,-26.9,0.73000002,5017.5,"no"
27,"blue-collar","married","basic.9y","no","yes","no","cellular","may","thu",291,2,0,"nonexistent",-1.8,92.892998,-46.200001,1.266,5099.1001,"no"
43,"management","married","professional.course","no","no","no","telephone","may","wed",764,3,0,"nonexistent",1.1,93.994003,-36.400002,4.8559999,5191,"no"
34,"blue-collar","married","basic.9y","no","yes","no","cellular","jul","wed",173,1,0,"nonexistent",1.4,93.917999,-42.700001,4.9619999,5228.1001,"no"
38,"technician","married","professional.course","no","no","no","cellular","mar","thu",119,1,0,"nonexistent",-1.8,92.843002,-50,1.757,5099.1001,"no"
41,"management","married","university.degree","unknown","no","no","telephone","may","thu",184,2,0,"nonexistent",1.1,93.994003,-36.400002,4.855,5191,"no"
36,"services","single","basic.9y","no","yes","no","cellular","may","fri",293,3,1,"failure",-1.8,92.892998,-46.200001,1.313,5099.1001,"no"
18,"student","single","high.school","no","no","no","telephone","nov","thu",75,1,0,"nonexistent",-0.1,93.199997,-42,4.2449999,5195.7998,"no"
41,"self-employed","married","high.school","no","unknown","unknown","telephone","jun","wed",143,1,0,"nonexistent",1.4,94.464996,-41.799999,4.9590001,5228.1001,"no"
69,"retired","divorced","professional.course","no","no","no","cellular","oct","tue",144,1,0,"nonexistent",-3.4000001,92.431,-26.9,0.74400002,5017.5,"yes"
52,"management","divorced","high.school","no","unknown","unknown","telephone","may","mon",259,3,0,"nonexistent",1.1,93.994003,-36.400002,4.8579998,5191,"no"
29,"technician","single","unknown","no","no","no","telephone","jun","mon",193,4,0,"nonexistent",1.4,94.464996,-41.799999,4.8649998,5228.1001,"no"
32,"self-employed","married","high.school","no","yes","no","cellular","aug","thu",151,3,0,"nonexistent",1.4,93.444,-36.099998,4.9629998,5228.1001,"no"
40,"self-employed","married","university.degree","unknown","no","no","telephone","may","mon",63,3,0,"nonexistent",1.1,93.994003,-36.400002,4.8569999,5191,"no"
35,"admin.","married","university.degree","no","no","yes","cellular","aug","thu",96,1,0,"nonexistent",1.4,93.444,-36.099998,4.9640002,5228.1001,"no"
35,"self-employed","single","professional.course","no","yes","no","cellular","nov","mon",128,2,0,"nonexistent",-0.1,93.199997,-42,4.191,5195.7998,"no"
33,"admin.","divorced","high.school","no","yes","no","telephone","may","tue",110,2,0,"nonexistent",1.1,93.994003,-36.400002,4.8569999,5191,"no"
33,"management","married","high.school","unknown","yes","no","telephone","may","wed",110,1,0,"nonexistent",1.1,93.994003,-36.400002,4.8590002,5191,"no"
